subj_idx,change_number,rhythm,response,rt,x1,x2,x3,x4,x5,x6
11,4,1,1,4.26437089999672,0,0,1,0,0,1
11,4,1,1,3.93310240004212,0,0,1,0,0,1
11,2,1,0,2.33194180007558,0,1,0,0,1,0
11,0,0,0,1.18050080002286,1,0,0,0,0,0
11,2,0,1,1.91599450004287,0,1,0,0,0,0
11,0,1,0,2.39819199999329,1,0,0,1,0,0
11,0,0,0,2.29676379996818,1,0,0,0,0,0
11,2,0,1,5.22867219999898,0,1,0,0,0,0
11,4,0,1,1.61520000000019,0,0,1,0,0,0
11,2,1,1,1.36224489996675,0,1,0,0,1,0
11,2,0,1,1.3745805999497,0,1,0,0,0,0
11,4,1,1,1.77755270001944,0,0,1,0,0,1
11,4,1,1,0.687180900014937,0,0,1,0,0,1
11,0,0,1,1.25733219995163,1,0,0,0,0,0
11,4,0,1,2.70622039993759,0,0,1,0,0,0
11,2,1,1,2.58606869995128,0,1,0,0,1,0
11,0,0,1,0.842129500000738,1,0,0,0,0,0
11,2,1,1,1.80342079990078,0,1,0,0,1,0
11,2,1,1,3.9898692999268,0,1,0,0,1,0
11,2,0,1,2.35978279996198,0,1,0,0,0,0
11,4,0,0,1.73030039994046,0,0,1,0,0,0
11,0,0,1,7.4995510999579,1,0,0,0,0,0
11,4,0,1,0.635689599905163,0,0,1,0,0,0
11,2,0,0,7.0038272999227,0,1,0,0,0,0
11,4,1,1,0.947814999963157,0,0,1,0,0,1
11,0,1,0,5.80989540007431,1,0,0,1,0,0
11,0,0,0,4.12628580001183,1,0,0,0,0,0
11,0,0,0,1.66703469993081,1,0,0,0,0,0
11,4,0,0,3.0533592000138,0,0,1,0,0,0
11,2,0,0,3.80106139997952,0,1,0,0,0,0
11,0,0,0,3.31180450005922,1,0,0,0,0,0
11,2,1,1,3.26223719993141,0,1,0,0,1,0
11,0,0,1,3.28918379999232,1,0,0,0,0,0
11,0,1,0,1.85915050003678,1,0,0,1,0,0
11,4,0,1,4.08418040000834,0,0,1,0,0,0
11,2,0,1,0.325006700004451,0,1,0,0,0,0
11,0,1,1,0.470378400059417,1,0,0,1,0,0
11,0,0,0,1.5678114000475,1,0,0,0,0,0
11,2,1,0,1.06270909996238,0,1,0,0,1,0
11,0,1,1,5.76250559999608,1,0,0,1,0,0
11,0,1,1,4.03387120005209,1,0,0,1,0,0
11,2,1,1,1.9332793999929,0,1,0,0,1,0
11,2,1,1,0.993160200072452,0,1,0,0,1,0
11,2,0,1,2.39161559997592,0,1,0,0,0,0
11,2,1,1,0.345749299973249,0,1,0,0,1,0
11,2,1,0,1.81577750004362,0,1,0,0,1,0
11,0,0,1,1.98890260001644,1,0,0,0,0,0
11,4,0,1,0.505791900097392,0,0,1,0,0,0
11,4,0,1,5.77452560001984,0,0,1,0,0,0
11,4,0,0,4.1935881000245,0,0,1,0,0,0
11,0,0,1,1.75647959997877,1,0,0,0,0,0
11,4,0,1,0.603166199987754,0,0,1,0,0,0
11,0,0,1,2.71975679998286,1,0,0,0,0,0
11,4,1,1,6.28639899997506,0,0,1,0,0,1
11,4,0,1,1.62493389996234,0,0,1,0,0,0
11,2,1,1,0.400894799968228,0,1,0,0,1,0
11,4,0,1,3.52717010001652,0,0,1,0,0,0
11,4,1,1,0.418631199980155,0,0,1,0,0,1
11,2,1,1,0.36589949997142,0,1,0,0,1,0
11,4,0,1,0.473069100058638,0,0,1,0,0,0
11,2,1,1,8.38329809997231,0,1,0,0,1,0
11,2,1,0,4.55047989997547,0,1,0,0,1,0
11,2,0,1,0.60979270003736,0,1,0,0,0,0
11,2,0,1,1.31190210010391,0,1,0,0,0,0
11,0,1,1,0.513403299963102,1,0,0,1,0,0
11,0,0,0,0.520313299959525,1,0,0,0,0,0
11,2,0,1,0.405814100056887,0,1,0,0,0,0
11,4,0,1,5.28626880003139,0,0,1,0,0,0
11,0,1,1,2.85533179994673,1,0,0,1,0,0
11,2,0,0,2.30567630007863,0,1,0,0,0,0
11,0,1,0,2.31343540002126,1,0,0,1,0,0
11,0,1,0,1.08781379996799,1,0,0,1,0,0
11,4,0,1,2.03198369999882,0,0,1,0,0,0
11,0,0,1,1.68620240001474,1,0,0,0,0,0
11,2,0,1,0.492789999931119,0,1,0,0,0,0
