subj_idx,rhythm,response,stim,rt,change_number
14,1,1,1,1.57225750002544,4
14,0,0,0,1.32480850000866,0
14,0,0,1,0.915918300044723,2
14,0,1,1,0.810618399991654,4
14,0,1,1,0.871412299922667,4
14,1,1,1,0.775279599940404,4
14,1,1,0,0.835623800056055,0
14,1,0,0,1.19425179995596,0
14,0,0,1,1.8769772000378,2
14,0,0,0,1.11057120002806,0
14,0,0,0,0.811709300032817,0
14,0,1,1,1.19521380006336,2
14,0,1,0,1.74943139997777,0
14,0,1,1,0.46698699996341,2
14,0,1,1,0.680583099951036,4
14,1,0,1,1.527905200026,2
14,0,1,1,0.89438599999994,2
14,0,0,1,1.24892370007001,2
14,1,1,1,0.714763300027698,4
14,0,0,1,1.18917399994098,2
14,1,1,1,0.967917899950407,2
14,0,1,1,0.355230999994092,2
14,0,1,1,0.619632899994031,2
14,1,1,1,0.546530799940228,4
14,0,1,1,0.430731499916874,4
14,1,0,0,0.731027500005439,0
14,1,1,1,0.973312200047076,2
14,1,1,1,1.54502239997964,4
14,0,1,0,1.03290180000477,0
14,0,1,1,0.724161299993284,2
14,0,1,1,0.789427199983038,4
14,1,0,0,0.948537699994631,0
14,0,1,1,0.988070799969137,4
14,0,1,1,0.720124899991788,4
14,0,1,1,0.59152850008104,4
14,0,0,0,1.09848270006478,0
14,1,0,0,0.776147899916396,0
14,1,0,0,1.03766599996015,0
14,0,0,0,1.11165870004334,0
14,1,0,1,1.53613259992562,2
14,0,1,1,1.22006710001733,4
14,1,1,1,1.28953509998973,2
14,1,1,1,0.694672600016929,2
14,1,0,1,0.873608199995942,2
14,0,1,1,1.31764010002371,2
14,0,1,0,0.906978700077161,0
14,0,1,1,0.81442299997434,4
14,0,1,1,0.632875300012529,4
14,0,0,1,1.59354230004828,4
14,1,0,0,1.17882080003619,0
14,1,1,0,2.03767150000203,0
14,1,1,1,0.851050200057216,2
14,0,1,1,0.54335169994738,2
14,0,0,0,1.45399029995315,0
14,0,1,1,0.52340710000135,2
14,0,1,1,0.383314199978486,2
14,1,1,1,0.86075210000854,4
14,0,0,0,0.97872350004036,0
14,0,1,1,1.12559329997748,2
14,1,0,1,1.01973389997147,4
14,0,0,1,1.21673450001981,4
14,1,1,1,2.09243230009452,2
14,1,1,1,0.476494599948637,2
14,1,1,1,0.93643829994835,4
14,1,1,0,0.729907900094986,0
14,1,0,0,0.83227429992985,0
14,1,1,1,0.974338100058958,4
14,0,0,0,0.862294799997471,0
14,1,0,0,0.721401500049978,0
14,0,1,0,1.31241050001699,0
14,1,1,1,0.919708900037222,4
